orb_radius,period
0.0946,13.85
0.1937,40.718
0.0149,0.81314
0.0887,10.06049
0.0622,5.90279
0.1013,12.42205
0.0667,7.6188
0.1229,19.07863
0.0795,9.45889
0.0858,8.52695
0.11900000000000001,17.96753
0.14300000000000002,32.93963
0.06,8.962
0.0753,8.867208999999999
0.0706,6.8942559999999995
0.0529,4.736837
0.0932,10.792635
0.1527,22.631964
0.1229,16.995731
0.0164,0.7739199999999999
0.0392,2.872042
0.07200000000000001,7.149210000000001
0.1106,13.609878
0.0289,1.7421689999999999
0.0785,7.8102529999999994
0.0361,2.588309
0.068,6.679195
0.07400000000000001,7.9194
0.0971,11.90715
0.0344,2.5085599999999997
0.049,4.1628169999999995
0.1184,14.786889000000002
0.1208,15.852975
0.0806,8.357880999999999
0.0385,3.2253380000000003
0.0668,7.374694
0.076,9.325038000000001
0.107,15.501920000000002
0.0785,9.79551
0.0834,8.596802
0.027999999999999997,2.1748
0.0088,0.38107800000000003
0.1104,13.683256
0.1211,15.387063000000001
0.0127,0.50565
0.0549,4.563269999999999
0.0516,4.47904
0.0886,10.09489
0.134,15.87209
0.0413,3.27108
0.0338,2.69828
0.0131,0.58426
0.0769,8.32727
0.0409,2.86041
0.10356,11.168453999999999
0.03317,2.46746
0.06687,7.06142
0.1527,24.3662
0.037000000000000005,2.18056
0.046,3.20466
0.0441,5.24
0.0576,7.775
0.0685,10.115
0.0513,6.034
0.1159,20.523000000000003
0.1567,26.8199
0.0494,6.51389
0.1087,11.54182
0.1817,24.94598
0.1418,21.068839999999998
0.0959,11.89307
0.0602,5.76918
0.0304,2.25021
0.0615,6.4942400000000005
0.0699,7.172560000000001
0.1151,12.409
0.0459,4.01457
0.0694,9.30075
0.1041,13.815129999999998
0.0506,4.00167
0.0448,4.09639
0.0923,12.11839
0.0274,1.96417
0.0578,5.52011
0.0216,1.60588
0.149,19.0921
0.1271,15.480429999999998
0.0962,14.5665
0.0404,2.6266657
0.102,11.63344
0.2573,50.818946999999994
0.033760000000000005,2.3691720000000003
0.01306,0.658524
0.0679,7.814
0.1035,14.697000000000001
0.1249,19.482
0.0308,2.151894
0.0819,9.326841
0.0531,4.144965
0.06702000000000001,6.7713149999999995
0.0247,1.543069
0.0497,4.400028
0.077,8.562421
0.1081,14.453532999999998
0.0974,11.716332000000001
0.1064,14.129714000000002
0.04,3.280961
0.075,8.438756
0.1291,18.718269
0.0675,6.326763
0.0488,3.3349660000000005
0.067,7.122605
0.0214,2.260455
0.1488,19.895201999999998
0.0773,8.687721
0.0499,4.169836
0.0291,1.921036
0.04771,4.795069
0.03817,3.471745
0.0824,7.1380479999999995
0.1178,10.45582
0.18041,14.762889999999999
0.1768,27.359
0.1206,14.893291
0.16399999999999998,31.393463
0.04217,3.2588321
0.0769,10.05449
